Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
Movie 43,2013,R,25 Jan 2013,94 min,Comedy,"Elizabeth Banks, Steven Brill, Steve Carr","Rocky Russo, Jeremy Sosenko, Ricky Blitt","Emma Stone, Stephen Merchant, Richard Gere",A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.,English,United States,4 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BMTg4NzQ3NDM1Nl5BMl5BanBnXkFtZTcwNjEzMjM3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '5%'}, {'Source': 'Metacritic', 'Value': '18/100'}]",18,4.4,"114,841",tt1333125,movie,N/A,"$8,840,453",N/A,N/A,True,
Scary Movie V,2013,PG-13,12 Apr 2013,86 min,"Comedy, Horror","Malcolm D. Lee, David Zucker","David Zucker, Pat Proft, Shawn Wayans","Simon Rex, Ashley Tisdale, Charlie Sheen","A couple begin to experience some unusual activity after bringing their lost nieces and nephew home. With the help of home-surveillance cameras, they learn they're being stalked by a nefarious demon.","English, Spanish, Latin",United States,5 nominations,https://m.media-amazon.com/images/M/MV5BMTc5OTIxMjQ4NF5BMl5BanBnXkFtZTcwOTAyNDcyOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '4%'}, {'Source': 'Metacritic', 'Value': '11/100'}]",11,3.5,"78,741",tt0795461,movie,N/A,"$32,015,787",N/A,N/A,True,
Teen Beach Movie,2013,Not Rated,19 Jul 2013,110 min,"Comedy, Family, Fantasy",Jeffrey Hornaday,"Vince Marcello, Mark Landry, Robert Horn","Ross Lynch, Maia Mitchell, Gracie Gillam","Two surfing lovers, whose doomed relationship is nearing to a close, find themselves swept into a dimension-traversing wave that sends them into a beach movie musical in the 60's.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMzBmNDcxN2UtZmY1NS00MjU5LTgxZTktNjk0ZDliZDNlYzk5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",N/A,6.0,"14,728",tt2325989,movie,N/A,N/A,N/A,N/A,True,
Steins;Gate: The Movie - Load Region of Déjà Vu,2013,TV-14,20 Apr 2013,90 min,"Animation, Mystery, Sci-Fi","Kanji Wakabayashi, Hiroshi Hamasaki, Takuya Satô","Chiyomaru Shikura, Jukki Hanada, J. Michael Tatum","Mamoru Miyano, Asami Imai, Kana Hanazawa","After the events of the anime, Rintarou begins to feel the repercussions of extensive time travel, and eventually completely fades from reality. Kurisu, being the only companion to remember him, now must find a way to bring him back.",Japanese,Japan,1 nomination,https://m.media-amazon.com/images/M/MV5BYzczNzdhYWItNmJhZi00NmMxLTk4ZWQtMzdhYjZmYzk3NWUyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"10,025",tt2967286,movie,N/A,N/A,N/A,N/A,True,
Lego Batman: The Movie - DC Super Heroes Unite,2013,Not Rated,21 May 2013,71 min,"Animation, Action, Adventure, Family, Sci-Fi",Jon Burton,"Jon Burton (story), David A. Goodman (story), David A. Goodman (screenplay), Bob Kane (character created by: Batman), Jerry Siegel (character created by: Superman), Joe Shuster (character created by: Superman), William Moulton Marston (character created by: Wonder Woman), Marv Wolfman (character created by: Cyborg), George Pérez (character created by: Cyborg), Paul Dini (character created by: Harley Quinn), Bruce Timm (character created by: Harley Quinn), Joe Samachson (character created by: Martian Manhunter), Joe Certa (character created by: Martian Manhunter), Chuck Dixon (character created by: Bane), Doug Moench (character created by: Bane), Graham Nolan (character created by: Bane)","Clancy Brown, Troy Baker, Christopher Corey Smith, Charlie Schlatter","When the Joker and Lex Luthor form an alliance, Batman must team up with the Justice League in order to stop them.",English,"USA, UK, Denmark",N/A,https://m.media-amazon.com/images/M/MV5BNjRjOGU2NzUtMjAwOC00MDI3LThmNmUtNTVkZTQ0MDEyYTc1XkEyXkFqcGdeQXVyMTA5NzUzODM4._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,"4,864",tt2465238,movie,N/A,N/A,N/A,N/A,True,
Puella Magi Madoka Magica the Movie Part III: The Rebellion Story,2013,Not Rated,26 Oct 2013,116 min,"Animation, Drama, Fantasy","Takashi Kawabata, Yukihiro Miyamoto, Akiyuki Shinbô","Akiyuki Shinbô, Gen Urobuchi, Ume Aoki","Aoi Yûki, Chiwa Saitô, Eri Kitamura",Madoka Kaname used to be a normal girl living happy days of her life. This all ended when she sacrificed herself in order to save other magical girls from the utterly cruel fate that awaited them. Unable to let her memories of Mad...,Japanese,Japan,2 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMTU4MDUxMzcxMV5BMl5BanBnXkFtZTgwNzI5MDU2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"4,380",tt2457282,movie,N/A,"$375,627",N/A,N/A,True,
Gintama the Movie: The Final Chapter - Be Forever Yorozuya,2013,N/A,06 Jul 2013,110 min,"Animation, Action, Comedy",Yôichi Fujita,"Hideaki Sorachi, Akatsuki Yamatoya","Tomokazu Sugita, Daisuke Sakaguchi, Rie Kugimiya",Gintoki travels into the future and discovers it to be a wasteland with his friends fallen apart. He reunites them to find out what went wrong and how to fix things.,Japanese,"Japan, United States",N/A,https://m.media-amazon.com/images/M/MV5BMWM1N2UzNWMtMGVkYS00MjM5LTg3ODMtOTZhODMxY2E0MzY3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,"3,233",tt2374144,movie,N/A,N/A,N/A,N/A,True,
Anohana the Movie: The Flower We Saw That Day (Ano hi mita hana no namae wo bokutachi wa mada shiran,2013,M,31 Aug 2013,99 min,"Animation, Adventure, Drama",Tatsuyuki Nagai,"Mari Okada, Masayoshi Tanaka, Tatsuyuki Nagai","Kenji Akabane, Megumi Han, Ikumi Hayama",A group of friends were separated when one of them died in an accident. Later on she comes back as a ghost trying to get into heaven but to do that her friends must grant her a wish.,Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BNTc1NzEwOTU0MV5BMl5BanBnXkFtZTgwNTMxMzY5MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,"2,869",tt2323836,movie,N/A,"$109,630",N/A,N/A,True,
The Harry Hill Movie,2013,N/A,20 Dec 2013,88 min,"Adventure, Comedy, Family",Steve Bendelack,"Jon Foster, Harry Hill, James Lamont","Harry Hill, Julie Walters, Johnny Vegas","When he thinks his hamster Abu (Johnny Vegas) has just a week to live, Harry Hill (Harry Hill) and his Nan (Dame Julie Walters) take the hamster to Blackpool. However, Harry's twin Otto (Matt Lucas) wants to kidnap Abu, and sends ...",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BZTA1NzlmMzEtZDZjYi00ZDAwLTgxYzgtNTNiOTIzZDRlNzUxXkEyXkFqcGdeQXVyNjcwMzExMzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}]",N/A,3.9,"2,414",tt3013528,movie,N/A,N/A,N/A,N/A,True,
Jay and Silent Bob's Super Groovy Cartoon Movie,2013,Not Rated,20 Apr 2013,64 min,"Animation, Comedy",Steve Stark,Kevin Smith,"Marc Bernardin, Ming Chen, Matt Cohen","Jay and Silent Bob hit the lottery jackpot, and use their cash windfall to become crime-fighting superheroes.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTQ3NDczMjc1NF5BMl5BanBnXkFtZTgwMzg5MTQ3MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,"2,311",tt2783020,movie,N/A,N/A,N/A,N/A,True,
