Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
PAW Patrol: The Movie,2021,G,20 Aug 2021,86 min,"Animation, Action, Adventure",Cal Brunker,"Billy Frolick, Cal Brunker, Bob Barlen","Tyler Perry, Ron Pardo, Will Brisbin",Ryder and the PAW Patrol pups are called to Adventure City in order to stop the recently-elected Mayor Humdinger from wreaking havoc.,English,"Canada, United States",3 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BYTJmM2Q1YTMtZjQ1Yi00NGYzLTlhZWEtOTc1NGJkMjYzMTQ4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,6.1,"8,969",tt11832046,movie,N/A,"$40,127,371",N/A,N/A,True,
The Loud House Movie,2021,TV-Y7,20 Aug 2021,83 min,"Animation, Adventure, Comedy",Dave Needham,"Kevin Sullivan, Chris Viscardi, Chris Savino","Asher Bishop, David Tennant, Michelle Gomez","With his parents and all 10 sisters in tow, Lincoln Loud heads to Scotland and learns that royalty runs in the family in this global musical journey.",English,"United States, Philippines, Austria",2 nominations,https://m.media-amazon.com/images/M/MV5BMzA4NmQ4ZjUtNzEwZS00MTY5LTk2ZmYtMWZhNDdiOTAwYTc5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,"3,042",tt6714432,movie,N/A,N/A,N/A,N/A,True,
2gether: The Movie,2021,N/A,11 Nov 2021,107 min,"Comedy, Musical, Romance","Noppharnach Chaiwimol, Kanittha Kwanyu, Weerachit Thongjila","Bee Pongsate Lucksameepong, Pratchaya Thavornthummarat, Kornphom Niyomsilp","Vachirawit Chivaaree, Metawin Opas-Iamkajorn, Sattabut Laedeke",Tine wants to get rid of a gay admirer so he finds a fake boyfriend: Sarawat. The two become close and intense emotions soon erupt. As Tine and Sarawat enter the second year of their relationship.,Thai,Thailand,N/A,https://m.media-amazon.com/images/M/MV5BODUwYmFmOTAtMDJkZS00NDkyLWI3NzQtY2RjMzg4ODhjNjI0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,"2,353",tt14296268,movie,N/A,N/A,N/A,N/A,True,
A Cop Movie,2021,R,05 Nov 2021,107 min,"Documentary, Action, Crime",Alonso Ruizpalacios,"David Gaitán, Alonso Ruizpalacios","Mónica Del Carmen, Raúl Briones, María Teresa Hernández Cañas",Two professional actors undergo an immersive process to find out what it takes to be a cop in Mexico City.,Spanish,Mexico,7 wins & 20 nominations,https://m.media-amazon.com/images/M/MV5BMGFkNDkwMDktNTAzYi00MWFhLWExNTMtZDM4ZTY3MzQyODIzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.0,"2,229",tt14035242,movie,N/A,N/A,N/A,N/A,True,
Shatagni - The Movie,2021,N/A,19 Nov 2021,N/A,"Action, Crime, Thriller",Lv Siva,Abhiram Reddy Dasari,"Abhiram Dasari, Abhiram Reddy Dasari, Swathi Mandal",The story of the film was based on the real incidents that are happening on social media in recent times. Story revolves around the victims of a gang who morphs pictures of young girls on social media and earns money out of it.,Telugu,India,N/A,https://m.media-amazon.com/images/M/MV5BMTIxMzQwOWYtOTAxNC00OGE3LTkzOWYtMzJhNzEyNWM4NGE1XkEyXkFqcGdeQXVyMTI2MzEwMDQx._V1_SX300.jpg,[],N/A,N/A,"2,007",tt14650250,movie,N/A,N/A,N/A,N/A,True,
Blackpink: The Movie,2021,TV-G,04 Aug 2021,100 min,"Documentary, Music","Su Yee Jung, Oh Yoon-dong","Chung Justine, Lee Mizi","Blackpink, Kim Jisoo, Jennie Kim","Commemorating the fifth anniversary of the debut of the South Korean girl group BLACKPINK featuring interviews with the four members: Jisoo, Jennie, Rosé, and Lisa, and live performances from ""The Show"" and ""In Your Area World Tour"".",Korean,South Korea,N/A,https://m.media-amazon.com/images/M/MV5BNzRmZjBlYmItN2Q1Mi00ZjczLTkzZDMtOGE3MDVmZjAzMTczXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,"1,622",tt14880612,movie,N/A,N/A,N/A,N/A,True,
Untitled Horror Movie,2021,Not Rated,15 Jun 2021,87 min,"Comedy, Horror",Nick Simon,"Luke Baines, Nick Simon","Luke Baines, Darren Barnet, Timothy Granaderos","A comedy about making a horror movie. When six co-stars learn their hit TV show is about to be canceled, they decide to shoot their own film, unintentionally summoning a spirit with an affinity for violence.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzgyNmFmMDUtMjc5OC00OTVjLWI2NzUtMzRhNWI4MmM2MTk1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}]",N/A,4.8,"1,448",tt12624584,movie,N/A,N/A,N/A,N/A,True,
The Balcony Movie,2021,N/A,30 Nov 2022,100 min,Documentary,Pawel Lozinski,Pawel Lozinski,N/A,"Composed from the conversations that the director holds with people passing by in the street under his Warsaw apartment, each story in 'The Balcony Movie' is unique and deals with the way we try to cope with life as individuals. A...","English, Russian, Polish",Poland,8 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BYmQ0Y2NlYmMtOWUxMy00NTQ4LTgwZmYtZTAxM2IzNzQ1MmEzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.5,"1,301",tt15180952,movie,N/A,N/A,N/A,N/A,True,
a-ha: The Movie,2021,N/A,03 Sep 2021,109 min,"Documentary, Biography, Music","Thomas Robsahm, Aslaug Holm",Thomas Robsahm,"a-ha, Morten Harket, Pål Waaktaar","Follows the band on tour, telling the full story of how three young men followed their impossible dream of becoming Norwegian pop stars. When Take On Me reached number 1 on Billboard in the US in 1985 the dream came true. Or did it?","Norwegian, English, German","Norway, Germany",3 nominations,https://m.media-amazon.com/images/M/MV5BNjg1NDI4NTctMDk4Yi00MjgyLWEwOGYtZTY3YTM3MjE4NWE0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,7.0,"1,295",tt10851414,movie,N/A,"$4,258",N/A,N/A,True,
Super Heroes: The Movie,2021,N/A,02 Feb 2021,80 min,Romance,Wesley Wittkamper,"Jeff Gass, Wesley Wittkamper","Mark Aston, Geoffrey Baumann, Judi Beecher","After a bad breakup, Wonderful Woman and Superbman must work together with the super crew to prevent world domination by an invincible supervillain from the 5th dimension named Bob. Shot in 1998, this superhero parody stars Lisa G...",English,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMDdmOTM5NmQtYTNjNC00MDE2LWFiZGYtNmNhZTE0ZTY2ZWE2XkEyXkFqcGdeQXVyMTI5NjMwMDI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,"1,242",tt14087490,movie,N/A,N/A,N/A,N/A,True,
Animals on the Loose: A You vs. Wild Movie,2021,TV-PG,16 Feb 2021,90 min,Adventure,Ben Simms,"Robert Buchta, Bear Grylls, Delbert Shoopman",Bear Grylls,"The protective fence surrounding a wildlife sanctuary has mysteriously suffered a breach. Bear is called in to help rescue a mischievous baboon, track down a hungry lion, and fix the fence before any more animals get out.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjA5MGFhYmYtYTBkYS00NjYzLWFkZjgtYWNiNmE5ZTFiNDAwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,"1,066",tt13853720,movie,N/A,N/A,N/A,N/A,True,
The Super Bob Einstein Movie,2021,TV-MA,28 Dec 2021,75 min,"Documentary, Biography, Comedy",Danny Gold,"Danny Gold, Michael Mayhew","Albert Brooks, John Byner, Larry David","Follows the life of the late actor, writer and producer Bob Einstein, featuring some of his greatest comedic contributions.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZTAyODYzMjAtNWNjYy00Njc5LWE0OWYtZGU0YzkyY2VjZDY5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,"1,036",tt16533296,movie,N/A,N/A,N/A,N/A,True,
The House of Flowers: The Movie,2021,TV-MA,23 Jun 2021,86 min,"Comedy, Drama",Manolo Caro,"Manolo Caro, Gabriel Nuncio","Cecilia Suárez, Aislinn Derbez, Dario Yazbek Bernal",The De La Mora siblings concoct a mischievous plan to break into their old family home to retrieve a hidden treasure of significant importance.,Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BNzYxMzU0MDEtYWRjMi00OTQ2LTk3YmYtMDBhMzUyNGZkZTcwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,"1,032",tt14549558,movie,N/A,N/A,N/A,N/A,True,
Christmas Movie Magic,2021,N/A,07 Dec 2021,87 min,"Comedy, Drama, Romance",Robert Vaughn,"James S. Blakeman, Rickie Castaneda, Caitlin English","Holly Deveaux, Drew Seeley, Jill Frappier","Follows Alli Blakeman, an entertainment writer who learns that movie magic isn't always just on-screen after she discovers the mysterious origins of a classic Christmas movie.",English,Canada,4 nominations,https://m.media-amazon.com/images/M/MV5BN2FlMWI2M2QtOTM2Yy00YWI2LWJiZjItN2I2ZDAxZjU1MDA0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,713,tt15515522,movie,N/A,N/A,N/A,N/A,True,
Wendy Williams: The Movie,2021,TV-14,30 Jan 2021,88 min,"Biography, Drama",Darren Grant,"Leigh Davenport, Scarlett Lacey","Jamall Johnson, Ciera Payton, Liza Huget","Follows the highs and lows Wendy has experienced throughout the years, from her scrappy upstart days in urban radio to the success of her own syndicated talk show.",English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BYmE0NDQxYzUtNTZkMi00MzM1LWIxNTEtYzEwZTFkMmM1ZjNkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,629,tt13084756,movie,N/A,N/A,N/A,N/A,True,
Nussa: The Movie,2021,TV-G,14 Oct 2021,107 min,"Animation, Adventure, Comedy",Bony Wirasmono,"M. Nurman Wardi, Widya Arifianti, Bony Wirasmono","Muzakki Ramdhan, Aysha Razaana Ocean Fajar, Fenita Arie",Nussa's life changed when he met a new friend who was much more liked by his friends than himself.,Indonesian,Indonesia,2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BZWZiODkxNjgtYmQ2OS00YmNlLThhZDMtMzNiN2Q5OGYzMzE2XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,559,tt11710090,movie,N/A,N/A,N/A,N/A,True,
