Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
The Lego Batman Movie,2017,PG,10 Feb 2017,104 min,"Animation, Action, Adventure",Chris McKay,"Seth Grahame-Smith, Chris McKenna, Erik Sommers","Will Arnett, Michael Cera, Rosario Dawson","A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",English,"United States, Denmark, Australia",13 wins & 69 nominations total,https://m.media-amazon.com/images/M/MV5BMTcyNTEyOTY0M15BMl5BanBnXkFtZTgwOTAyNzU3MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,7.3,"180,905",tt4116284,movie,N/A,"$175,936,671",N/A,N/A,True,
The Emoji Movie,2017,PG,28 Jul 2017,86 min,"Animation, Adventure, Comedy",Tony Leondis,"Tony Leondis, Eric Siegel, Mike White","T.J. Miller, James Corden, Anna Faris","Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.","English, Spanish",United States,6 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMTkzMzM3OTM2Ml5BMl5BanBnXkFtZTgwMDM0NDU3MjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '6%'}, {'Source': 'Metacritic', 'Value': '12/100'}]",12,3.4,"74,304",tt4877122,movie,N/A,"$86,089,513",N/A,N/A,True,
Captain Underpants: The First Epic Movie,2017,PG,02 Jun 2017,89 min,"Animation, Action, Adventure",David Soren,"Nicholas Stoller, Dav Pilkey, David Soren","Kevin Hart, Thomas Middleditch, Ed Helms","Two overly-imaginative pranksters hypnotize their grumpy principal into thinking he's a ridiculously enthusiastic, incredibly dimwitted, underwear-themed superhero.","English, German","United States, Canada, France",3 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BN2FlOTgyOTctMTE1Ny00MzFhLWE5NjctNTMxNzM5N2I2Yzk1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,6.2,"33,727",tt2091256,movie,N/A,"$73,921,000",N/A,N/A,True,
The Lego Ninjago Movie,2017,PG,22 Sep 2017,101 min,"Animation, Action, Adventure","Charlie Bean, Paul Fisher, Bob Logan","Bob Logan, Paul Fisher, William Wheeler","Jackie Chan, Dave Franco, Fred Armisen","Shunned by everyone for being the son of an evil warlord, a teenager seeks to defeat him with the help of his fellow ninjas.",English,"United States, Denmark, Australia, Canada",7 nominations total,https://m.media-amazon.com/images/M/MV5BNWQ3Zjk0ZGEtOTU4ZS00OWY1LTlkM2YtNTllZjBhNTk3NDAxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.1,"31,635",tt3014284,movie,N/A,"$59,364,177",N/A,N/A,True,
Psych: The Movie,2017,TV-PG,07 Dec 2017,88 min,"Comedy, Crime, Mystery",Steve Franks,"Steve Franks, James Roday Rodriguez","James Roday Rodriguez, Dulé Hill, Timothy Omundson",The old gang comes together during the holidays after a mystery assailant targets one of their own.,English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BZDIxYmJiNDUtNjA0My00N2ExLWFhMDAtMzYxOTcyYWM5MDRlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.3,"13,170",tt6868216,movie,N/A,N/A,N/A,N/A,True,
Sword Art Online the Movie: Ordinal Scale,2017,TV-14,18 Feb 2017,119 min,"Animation, Action, Adventure",Tomohiko Itô,"Reki Kawahara, Tomohiko Itô","Yoshitsugu Matsuoka, Haruka Tomatsu, Kanae Itô","Kirito uncovers a conspiracy within Ordinal Scale, a popular AR game developed for a new system called The Augma.",Japanese,Japan,3 nominations total,https://m.media-amazon.com/images/M/MV5BNDYxNmUyNDctMmQ5Zi00OTM0LWI1ZjktN2Y5MzliZjU5MmNhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,"9,307",tt5544384,movie,N/A,"$1,522,976",N/A,N/A,True,
My Little Pony: The Movie,2017,PG,06 Oct 2017,99 min,"Animation, Adventure, Comedy",Jayson Thiessen,"Meghan McCarthy, Joe Ballarini, Rita Hsiao","Emily Blunt, Kristin Chenoweth, Liev Schreiber","After a dark force conquers Canterlot, the Mane 6 embark on an unforgettable journey beyond Equestria where they meet new friends and exciting challenges on a quest to use the magic of friendship to save their homeland.",English,"United States, Canada, Bulgaria, Ireland, Philippines, China, Austria, Brazil, Belgium",5 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BNDZiNDRlNGQtNGQ4Ny00NDRiLTkwOWItZDJlZTQ4YTlmM2M3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,6.1,"8,253",tt4131800,movie,N/A,"$21,885,107",N/A,N/A,True,
Pokémon the Movie: I Choose You!,2017,PG,05 Nov 2017,98 min,"Animation, Action, Adventure",Kunihiko Yuyama,"Takeshi Shudô, Satoshi Tajiri, Shôji Yonemura","Unshô Ishizuka, Rica Matsumoto, Sarah Natochenny",Ash Ketchum from Pallet Town is 10 years old today. This means he is now old enough to become a Pokémon Trainer. Ash dreams big about the adventures he will experience after receiving his first Pokémon from Professor Oak.,"Japanese, English","Japan, United States",1 nomination total,https://m.media-amazon.com/images/M/MV5BYTI5M2RmMWUtOGFlMC00M2YxLThiZjUtMjZkNjI3NWQ5NjkwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}]",N/A,6.3,"7,812",tt6595896,movie,N/A,"$2,401,722",N/A,N/A,True,
OHA Diyorum: The Movie,2017,N/A,03 Nov 2017,90 min,Comedy,Ersan Özer,Ersan Özer,"Firat Sobutay, Melih Abuaf, Alper Rende",Firat's car gets stolen. Firat and his friends try to get Firat's car back.,Turkish,Turkey,N/A,https://m.media-amazon.com/images/M/MV5BYzY2NjZhNjUtMjRmMy00MTZmLTlmY2QtNGNkNTQ5ODQ5NjQ0XkEyXkFqcGdeQXVyODY1MDkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '1.6/10'}]",N/A,1.6,"6,899",tt7535868,movie,N/A,N/A,N/A,N/A,True,
Handsome: A Netflix Mystery Movie,2017,TV-MA,05 May 2017,80 min,"Comedy, Mystery",Jeff Garlin,"Andrea Seigel, Jeff Garlin","Ava Acres, Armani GreatDane, Dino Battaglia",Gene Handsome is an LA homicide detective who tries to make sense of his life as he solves crime. Handsome's knack for solving mysteries is matched only by his inability to make sense of his own problems.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMzIyMzA5MDU3M15BMl5BanBnXkFtZTgwNjk1MjA4MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,"5,232",tt5809020,movie,N/A,N/A,N/A,N/A,True,
The Last Movie Star,2017,R,30 Mar 2018,94 min,Drama,Adam Rifkin,Adam Rifkin,"Burt Reynolds, Ariel Winter, Clark Duke","An aging former movie star is forced to face the reality that his glory days are behind him. On its surface, the film is a tale about faded fame. At its core, it's a universal story about growing old.",English,United States,3 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BNzc4ODYwMjEwNV5BMl5BanBnXkFtZTgwNTg1Mjg1NDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,7.0,"5,072",tt5836316,movie,N/A,"$14,410",N/A,N/A,True,
Bullyparade: The Movie,2017,N/A,17 Aug 2017,100 min,Comedy,Michael Herbig,"Alfons Biedermann, Michael Herbig, Rick Kavanian","Michael Herbig, Christian Tramitz, Rick Kavanian","Feature film adaptation of the German sketch comedy show, in which comedians present five parodies of popular films.",German,Germany,N/A,https://m.media-amazon.com/images/M/MV5BYTIzMWE4MGUtYjI0MC00MzZmLWI2MTYtN2Y1NmJlNTMxNmYxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",N/A,4.9,"3,821",tt5538704,movie,N/A,N/A,N/A,N/A,True,
Hey Arnold: The Jungle Movie,2017,TV-PG,24 Nov 2017,81 min,"Animation, Adventure, Comedy","Raymie Muzquiz, Stu Livingston","Craig Bartlett, Joseph Purdy, Laura Sreebny","Mason Cotton, Benjamin Flores Jr., Francesca Marie Smith","Picking up where Hey Arnold! (1996) left off, this tells the story of what happened to Arnold's parents.","English, Korean","United States, South Korea",Won 1 Primetime Emmy. 7 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BY2E3Yzc2NmEtZmQ3OC00ZDI0LTlmNTktMmIyZmNhN2VmZWIxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.4,"3,786",tt5257726,movie,N/A,N/A,N/A,N/A,True,
Gintama Live Action the Movie,2017,N/A,14 Jul 2017,131 min,"Action, Adventure, Comedy",Yûichi Fukuda,"Hideaki Sorachi, Yûichi Fukuda","Masaki Suda, Masami Nagasawa, Yûya Yagira","In an era where aliens have invaded and conquered feudal Tokyo, a young samurai seeks work as he can.",Japanese,Japan,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BY2EzYzdjY2MtZGIyNS00NTIzLTgzY2QtYjM5NDNkMDQ0MDAyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}]",N/A,6.1,"2,825",tt5805470,movie,N/A,N/A,N/A,N/A,True,
The Carmilla Movie,2017,R,26 Oct 2017,97 min,"Comedy, Romance, Thriller",Spencer Maybee,"Alejandro Alcoba, Jordan Hall","Elise Bauman, Natasha Negovanlis, Annie Briggs","5 years after they vanquished the apocalypse and Carmilla became human, Laura is a journalist. Then Carmilla begins to show signs of ""re-vamping"" while Laura has started having bizarre dreams. Sounds like a new supernatural threat.",English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BN2VmNWMzY2EtMmFhMi00NjQ5LTk2NDQtYzM2YzE2OTE5OTgyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,"2,745",tt7427856,movie,N/A,N/A,N/A,N/A,True,
The Movie of My Life,2017,N/A,17 Nov 2017,113 min,Drama,Selton Mello,"Selton Mello, Antonio Skármeta, Marcelo Vindicato","Vincent Cassel, Martha Nowill, Selton Mello","Young Tony decides to return to his hometown. There, he discovers his father has returned to France claiming to miss his friends and country of origin. Tony ends up becoming a teacher, and finds himself amid conflicts and inexperi...","Portuguese, Spanish, French",Brazil,6 wins & 18 nominations,https://m.media-amazon.com/images/M/MV5BMzAzODg1MTUtNDljYS00OWZjLTlkYTQtMGY2ZTI0ZDU2YTk1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"2,093",tt4012424,movie,N/A,N/A,N/A,N/A,True,
Dance Academy: The Movie,2017,Not Rated,02 Mar 2018,101 min,Drama,Jeffrey Walker,Samantha Strauss,"Xenia Goodwin, Mackenzie Fearnley, Ines English",This 2017 movie follows the original dance academy TV show and tracks where the characters are in their lives now.,English,"Germany, Australia",5 nominations,https://m.media-amazon.com/images/M/MV5BMjlhNDM0ZjctODI4OC00ZjY1LTg5MjItNzg4N2ZjODM5ZjQwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.8,"1,829",tt5834660,movie,N/A,N/A,N/A,N/A,True,
Vixen: The Movie,2017,Not Rated,08 May 2017,75 min,"Animation, Fantasy, Sci-Fi","Curt Geda, James Tucker","Wendy Mericle, Keto Shimizu, Brian Ford Sullivan, Lauren Certo, Nolan Dunbar, Sarah Tarkoff, Marc Guggenheim, Marc Guggenheim (story editor), Keto Shimizu (story editor), Gerry Conway (character created by: Jefferson Jackson), Pat Broderick (character created by: Jefferson Jackson), Gardner Fox (character created by: Ray Palmer/The Atom), Gerry Conway (character created by: Cisco Ramon), Chuck Patton (character created by: Cisco Ramon), Gerry Conway (character created by: Felicity Smoak), Rafael Kayanan (character created by: Felicity Smoak), Gerry Conway (character created by: Martin Stein), Al Milgrom (character created by: Martin Stein), Gerry Conway (character created by: Vixen), Bob Oksner (character created by: Vixen)","Megalyn Echikunwoke, Stephen Amell, Katie Cassidy, Franz Drameh","Originally from Africa, Mari McCabe grew up an orphan after her parents were killed by local greed, corruption and wanton violence. But Mari refuses to succumb to the terrors surrounding ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNGE1ZGIyMDItZjJlZC00NThhLWFkZGYtZmUyNWM3MWIwMzcyXkEyXkFqcGdeQXVyNzAyMzg3NTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,"1,342",tt6945882,movie,N/A,N/A,N/A,N/A,True,
Condorito: The Movie,2017,PG,08 Jun 2018,88 min,"Animation, Adventure, Comedy","Alex Orrelle, Eduardo Schuldt","Rodrigo Moraes, Martín Piroyansky, Ishai Ravid","Omar Chaparro, Jessica Cediel, Cristián de la Fuente",Condorito embarks in a hilarious adventure to save the planet and his loved ones from an evil alien.,"Spanish, English","Peru, Chile, Mexico, Argentina, United States",N/A,https://m.media-amazon.com/images/M/MV5BZGY3YWNjYjYtZGZkMS00YTA5LWJlNmEtNDcxNDMxOTA1MzAwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}]",N/A,5.2,976,tt4494382,movie,N/A,"$447,719",N/A,N/A,True,
High & Low: The Movie 3 - Final Mission,2017,N/A,11 Nov 2017,118 min,"Action, Drama","Shigeaki Kubo, Tsuyoshi Nakakuki","Norihisa Hiranuma, Kei Watanabe, Daisuke Kamijô","Ryôhei Abe, Akira, Shintarô Akiyama","In order to conceal past corruption by the government, the Kyuryu gang proceeds on a plan to destroy a street and build a casino. To stop the Kyuryu gang, members of the SWORD begin to move.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BMjU0ODIyMTk4MF5BMl5BanBnXkFtZTgwOTIxNjcxNDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,814,tt7624932,movie,N/A,N/A,N/A,N/A,True,
High & Low: The Movie 2 - End of Sky,2017,N/A,19 Aug 2017,124 min,Action,"Shigeaki Kubo, Tsuyoshi Nakakuki","Norihisa Hiranuma, Kei Watanabe, Shôhei Fukuda","Takanori Iwata, Nobuyuki Suzuki, Keita Machida","The most brutal new gangs appear. These gangs are Doubt and Prison gang, and they try to dominate the area controlled by SWORD. They also go up against other gangs in the area and challenge White Rascals to fight.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BNGQzMTZlMTEtYTBmMy00OTFhLWI5NjEtOTkwZmJiMDAwNjNiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,610,tt6721358,movie,N/A,N/A,N/A,N/A,True,
Surat Cinta Untuk Starla the Movie,2017,N/A,28 Dec 2017,90 min,"Drama, Romance",Rudi Aryanto,"Sukhdev Singh, Tisa T.S.","Jefri Nichol, Caitlin Halderman, Salshabilla Adriani","Hema has an obsession with nature and always makes a love letter for it. One day, he meets Starla who can make him fall in love. For the first time, he realized that there was a more beautiful love letter that is a love letter for...",Indonesian,Indonesia,N/A,https://m.media-amazon.com/images/M/MV5BNGYzM2E4NDItMWM2ZS00YjEzLWI3NDQtMDUwZDk5OGViYzk2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,535,tt7572744,movie,N/A,N/A,N/A,N/A,True,
Fate/Kaleid Liner Prisma Illya: The Movie - Oath Under Snow,2017,N/A,26 Aug 2017,90 min,"Animation, Action, Adventure",Shin Ônuma,"Hiroshi Hiroyama, Kenji Inoue, Hazuki Minase","Natsuki Hanae, Mai Kadowaki, Rikiya Koyama","A young Shirou Emiya and his adoptive father Kiritsugu travel to Fuyuki in order to investigate the Sakatsuki family, who are rumored to be harboring a child with powerful magic abilities.",Japanese,Japan,1 nomination,https://m.media-amazon.com/images/M/MV5BYTUyMWNlZGYtYWUzNC00YzMxLWJlNjAtZmU2YmUxN2E2YWYxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,303,tt7283066,movie,N/A,N/A,N/A,N/A,True,
Sound! Euphonium the Movie: May the Melody Reach You!,2017,N/A,30 Sep 2017,105 min,"Animation, Comedy, Drama","Taichi Ishidate, Taiichi Ogawa, Yasuhiro Takemoto","Ayano Takeda, Jukki Hanada","Chika Anzai, Ayaka Asai, Minori Chihara",A recap movie of the second season of Sound! Euphonium (2015).,Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BYmRhMjM5NDUtMWRhYy00NTYwLThhMDAtMzMyYzA3ODY2ZTM4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,228,tt6973828,movie,N/A,N/A,N/A,N/A,True,
Top Funny Comedian: The Movie,2017,N/A,28 Jan 2017,93 min,"Comedy, Family",Li Jiqiang,N/A,"Lun Ai, Rowan Atkinson, Pierre Bourdaud","A spin-off of a Chinese variety show of the same name, it involves a number of characters getting involved in a series of misadventures during a visit to Macau.",Chinese,China,1 nomination,https://m.media-amazon.com/images/M/MV5BNTVlN2IxN2ItMzU3NS00MTU0LWJiMWMtZGM3NDMyZmYwZGMzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.6/10'}]",N/A,2.6,184,tt6421362,movie,N/A,N/A,N/A,N/A,True,
The SuperMarioLogan Movie,2017,TV-14,N/A,145 min,"Adventure, Comedy",Logan Thirtyacre,Logan Thirtyacre,"Logan Thirtyacre, Lance Thirtyacre, Chris Netherton","Jeffy's Mother aka Nancy, Decides to escape jail and collect Jeffy's Inheritance. So she hires screwball the clown to kidnap Jeffy and hold him for ransom until MARIO MARIO pays off the ransom.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZDg4MjU4ZDQtNTE5Zi00ZWUyLWJjYzUtZTkyMzdhZWNhZTk0XkEyXkFqcGdeQXVyODk1Njk0ODY@._V1_SX300.jpg,[],N/A,N/A,182,tt7156288,movie,N/A,N/A,N/A,N/A,True,
The Strange Name Movie,2017,TV-PG,N/A,52 min,Documentary,Richard Tilkin,"Jennifer Bagley, Rocco Giuliano, Richard Tilkin","Greg Boggis, Laura Wattenberg, Al Capone","How do perfectly ordinary, normal people cope with the extraordinary challenge of an embarrassing, provocative, famous or unbelievable name? This documentary examines the phenomena of ""strange names.""",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BYjhjMTVkOTQtYTFhNi00YjJhLTgxMWUtMDMzMWZjNGUwODQ0XkEyXkFqcGdeQXVyMTE4NTI5NTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,155,tt5671902,movie,N/A,N/A,N/A,N/A,True,
Seitokai Yakuindomo the Movie,2017,N/A,21 Jul 2017,60 min,"Animation, Comedy",Hiromitsu Kanazawa,"Tozen Ujiie, Hiromitsu Kanazawa","Shintarô Asanuma, Yôko Hikasa, Satomi Satô",N/A,Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BYThmY2Q3MzEtMzFhMy00YmYxLTlmOWMtZjljMGYxMzc2ZTNlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,150,tt6337252,movie,N/A,N/A,N/A,N/A,True,
Horror Movie: A Low Budget Nightmare,2017,Not Rated,10 Sep 2019,99 min,Documentary,Gary Doust,N/A,"Craig Anderson, Gerard O'Dwyer, Dee Wallace",A filmmaker's lifelong dream becomes a 'nightmare' when he puts his life savings on the line to make a low budget horror film about an aborted fetus that seeks revenge on its family.,English,Australia,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BNzQ5Zjc2MjctNjkyOC00YjUwLWJlZWEtZGZlMGEyZjM4ODZlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,146,tt5717610,movie,N/A,N/A,N/A,N/A,True,
