Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
The SpongeBob Movie: Sponge Out of Water,2015,PG,06 Feb 2015,92 min,"Animation, Adventure, Comedy","Paul Tibbitt, Mike Mitchell","Jonathan Aibel, Glenn Berger, Stephen Hillenburg","Tom Kenny, Antonio Banderas, Bill Fagerbakke","When a diabolical pirate above the sea steals the secret Krabby Patty formula, SpongeBob and his friends team up in order to get it back.",English,"United States, South Korea, Australia",1 win & 9 nominations total,https://m.media-amazon.com/images/M/MV5BNDhlMDM3ZDUtMGNhZi00ZTFmLTg1YjYtZTM3ZTE1MGIwNWFjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,6.0,"64,074",tt2279373,movie,N/A,"$162,994,032",N/A,N/A,True,
The Peanuts Movie,2015,G,06 Nov 2015,88 min,"Animation, Adventure, Comedy",Steve Martino,"Craig Schulz, Bryan Schulz, Cornelius Uliano","Noah Schnapp, Bill Melendez, Hadley Belle Miller","Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their archnemesis, while his best pal Charlie Brown begins his own epic quest back home to win the love of his life.",English,United States,2 wins & 49 nominations total,https://m.media-amazon.com/images/M/MV5BNTE5NzMxNzkwNl5BMl5BanBnXkFtZTgwOTQ0Nzk5NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,7.0,"51,402",tt2452042,movie,N/A,"$130,178,411",N/A,N/A,True,
Shaun the Sheep Movie,2015,PG,05 Aug 2015,85 min,"Animation, Adventure, Comedy","Mark Burton, Richard Starzak","Mark Burton, Richard Starzak, Nick Park","Justin Fletcher, John Sparkes, Omid Djalili","When Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flo...","None, English","United Kingdom, France",Nominated for 1 Oscar. 4 wins & 49 nominations total,https://m.media-amazon.com/images/M/MV5BOTc1ODY5MTQ1Nl5BMl5BanBnXkFtZTgwMDM5ODI1NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,7.3,"44,688",tt2872750,movie,N/A,"$19,375,982",N/A,N/A,True,
My Scientology Movie,2015,Not Rated,10 Mar 2017,99 min,Documentary,John Dower,"John Dower, Louis Theroux","Louis Theroux, Tom Cruise, Marty Rathbun",Louis Theroux documents his investigation into what goes on behind the scenes of the infamous Church of Scientology.,English,United Kingdom,4 nominations,https://m.media-amazon.com/images/M/MV5BMTQ5NTI2NDc3NF5BMl5BanBnXkFtZTgwNDA3ODk2MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,6.6,"13,662",tt5111874,movie,N/A,"$22,936",N/A,N/A,True,
Boruto: Naruto the Movie,2015,PG,28 Mar 2017,95 min,"Animation, Action, Adventure","Hiroyuki Yamashita, Toshiyuki Tsuru","Masashi Kishimoto, Ukyô Kodachi","Yûko Sanpei, Kokoro Kikuchi, Ryûichi Kijima","It's been some years since the end of the Shinobi War. Naruto Uzumaki is the 7th Hokage of Konohagakure, in this new era. His son, Boruto Uzumaki, will soon enter the Chûnin exams, alongside Sarada Uchiha and the mysterious Mitsuki.",Japanese,Japan,3 nominations total,https://m.media-amazon.com/images/M/MV5BY2Y0NGE5YjgtNzFlZS00NzJjLThlMDQtZDZhNjQxNTc2NmUwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"12,581",tt4618398,movie,N/A,"$919,651",N/A,N/A,True,
The Bad Education Movie,2015,Not Rated,21 Aug 2015,90 min,Comedy,Elliot Hegarty,"Jack Whitehall, Freddy Syborn, Ben Cavey","Jack Whitehall, Charlie Wernham, Nikki Runeckles",Mr Wickers and his class go on one final school trip after they finish their GCSEs.,English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BNzMxNTY1ODc1Nl5BMl5BanBnXkFtZTgwMzQyMzIzNjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}]",N/A,5.8,"7,640",tt4660980,movie,N/A,N/A,N/A,N/A,True,
Smosh: The Movie,2015,PG-13,24 Jul 2015,84 min,"Adventure, Comedy, Fantasy",Alex Winter,"Eric Falconer, Steve Marmel, Ian Hecox","Ian Hecox, Anthony Padilla, Michael Ian Black",An embarrassing video of Anthony surfaces online right before his fifth high school reunion. The Smosh dudes then take a portal into YouTube and race to change the video and re-write history before it blows Anthony's chances of re...,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTg2OTcyNzEwN15BMl5BanBnXkFtZTgwOTU0Mzc5NTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.3/10'}]",N/A,3.3,"6,946",tt4184878,movie,N/A,N/A,N/A,N/A,True,
Regular Show: The Movie,2015,TV-PG,14 Aug 2015,70 min,"Animation, Action, Adventure",J.G. Quintel,"J.G. Quintel, Sean Szeles, Calvin Wong","J.G. Quintel, William Salyers, Sam Marin","To save the universe, and their friendship, Mordecai and Rigby must defeat an evil volleyball coach.",English,"Canada, United States",3 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BYWZlYjM3ZTAtOWE1YS00NzgyLThjYjctNzU5MDhhODExYWJhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"6,502",tt4920274,movie,N/A,N/A,N/A,N/A,True,
Psycho-Pass: The Movie,2015,TV-MA,29 Feb 2016,113 min,"Animation, Action, Crime","Naoyoshi Shiotani, Katsuyuki Motohiro","Gen Urobuchi, Makoto Fukami","Bryn Apprill, Major Attaway, Z. Charles Bolton","In this sequel to Psycho-Pass TV show, Inspector Tsunemori is sent to a neighboring war-torn nation, where the Sibyl System is being introduced as an experiment, to find Shinya Kogami, her former enforcer who went rogue three year...","Japanese, English",Japan,1 win & 6 nominations total,https://m.media-amazon.com/images/M/MV5BYTFiNzY3MDktYjkyMi00Y2U4LWIyNzgtM2Y3OWI1OGVlYzQwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"4,706",tt4219130,movie,N/A,"$138,366",N/A,N/A,True,
Ghost in the Shell: The New Movie,2015,TV-MA,10 Nov 2015,100 min,"Animation, Action, Sci-Fi","Motonobu Hori, Shinji Itadaki, Kazuchika Kise","Shirow Masamune, Tow Ubukata","Maaya Sakamoto, Ken'ichirô Matsuda, Ikkyû Jaku","Newport-City 2029: Major, an advanced female cyborg, is in charge of the anti-terrorism etc. unit reporting directly to the government. Taking out terrorists and freeing hostages at an embassy doesn't go smoothly. Major investigat...","Japanese, English","Japan, United States",3 nominations total,https://m.media-amazon.com/images/M/MV5BZGRlMzkxMGQtOTY1MC00MjVlLTg0MDktNWFmNGU4Zjk5NTY0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,"4,185",tt4337072,movie,N/A,"$101,203",N/A,N/A,True,
